ticker,country_code,company,esg_disclosure_score,ipo_date,country_name,security_key
1,HK,CK HUTCHISON HOLDINGS LTD,64.28,1972-01-11,Hong Kong,1 HK
10,HK,HANG LUNG GROUP LTD,61.86,1972-12-10,Hong Kong,10 HK
100,HK,MINIMAX GROUP INC,,2026-09-01,Hong Kong,100 HK
1001,HK,HONG KONG SHANGHAI ALLIANCE,,1994-02-18,Hong Kong,1001 HK
1003,HK,HUANXI MEDIA GROUP LTD,,1994-02-21,Hong Kong,1003 HK
1004,HK,CHINA SMARTER ENERGY GROUP H,,1997-09-10,Hong Kong,1004 HK
1005,HK,MATRIX HOLDINGS LTD,,1994-02-18,Hong Kong,1005 HK
1009,HK,INTERNATIONAL ENTERTAINMENT,,2000-07-31,Hong Kong,1009 HK
101,HK,HANG LUNG PROPERTIES LTD,69.63,,Hong Kong,101 HK
1010,HK,SKY BLUE 11 COMPANY LTD,,1994-02-18,Hong Kong,1010 HK
1013,HK,WAI CHUN GROUP HOLDINGS LTD,,1997-03-02,Hong Kong,1013 HK
1022,HK,FEIYU TECHNOLOGY INTERNATION,,2014-05-12,Hong Kong,1022 HK
1024,HK,KUAISHOU TECHNOLOGY,76.9,2021-05-02,Hong Kong,1024 HK
1025,HK,KNT HOLDINGS LTD,,2019-02-28,Hong Kong,1025 HK
1026,HK,UNIVERSAL TECHNOLOGIES HLDGS,,2001-10-26,Hong Kong,1026 HK
1027,HK,ASIA STRATEGY DIGIT TECHNOLO,,2015-02-13,Hong Kong,1027 HK
103,HK,SHOUGANG CENTURY HOLDINGS LT,,1992-09-04,Hong Kong,103 HK
1030,HK,SEAZEN GROUP LTD,48.47,2012-11-29,Hong Kong,1030 HK
1036,HK,VANKE OVERSEAS INVESTMENT HO,51.23,,Hong Kong,1036 HK
1038,HK,CK INFRASTRUCTURE HOLDINGS L,57.29,1996-07-17,Hong Kong,1038 HK
104,HK,ASIA COMMERCIAL HOLDINGS LTD,,1987-07-29,Hong Kong,104 HK
1044,HK,HENGAN INTL GROUP CO LTD,63.88,1998-08-12,Hong Kong,1044 HK
1045,HK,APT SATELLITE HOLDINGS LTD,,1996-12-18,Hong Kong,1045 HK
1046,HK,UNIVERSE ENTERTAINMENT & CUL,,1999-07-20,Hong Kong,1046 HK
1047,HK,NGAI HING HONG COMPANY LTD,,1994-04-25,Hong Kong,1047 HK
1049,HK,CELESTIAL ASIA SECURITIES,,1994-04-27,Hong Kong,1049 HK
105,HK,ASSOC INTERNATIONAL HOTELS,,1985-10-24,Hong Kong,105 HK
1050,HK,KARRIE INTL HLDGS LTD,,1996-12-16,Hong Kong,1050 HK
1052,HK,YUEXIU TRANSPORT INFRASTRUCT,69.06,1997-01-30,Hong Kong,1052 HK
1053,HK,CHONGQING IRON & STEEL CO-H,67.83,1997-10-17,Hong Kong,1053 HK
1055,HK,CHINA SOUTHERN AIRLINES CO-H,51.11,1997-07-31,Hong Kong,1055 HK
1058,HK,NAMYUE HOLDINGS LTD,,1996-12-16,Hong Kong,1058 HK
1059,HK,KANTONE HOLDINGS LTD,,,Hong Kong,1059 HK
106,HK,LANDSEA GREEN MANAGEMENT LTD,,1986-03-24,Hong Kong,106 HK
1060,HK,DAMAI ENTERTAINMENT HOLDINGS,54.79,1994-12-05,Hong Kong,1060 HK
1061,HK,ESSEX BIO-TECHNOLOGY LTD,,2001-06-27,Hong Kong,1061 HK
1066,HK,SHANDONG WEIGAO GP MEDICAL-H,65.51,2004-02-27,Hong Kong,1066 HK
107,HK,SICHUAN EXPRESSWAY GROUP CO,74.96,1997-07-10,Hong Kong,107 HK
1070,HK,TCL ELECTRONICS HOLDINGS LTD,33.99,1999-11-26,Hong Kong,1070 HK
1079,HK,PINE TECHNOLOGY HLDGS LTD,,1999-11-26,Hong Kong,1079 HK
108,HK,SR MEDICAL TECHNOLOGY CO LTD,,1973-09-02,Hong Kong,108 HK
1083,HK,TOWNGAS SMART ENERGY CO LTD,66.19,2001-04-20,Hong Kong,1083 HK
1084,HK,GREEN FRESH BIOTECHNOLOGY CO,,2019-10-17,Hong Kong,1084 HK
1088,HK,CHINA SHENHUA ENERGY CO-H,65.22,2005-06-15,Hong Kong,1088 HK
1093,HK,CSPC PHARMACEUTICAL GROUP LT,54.54,1994-06-21,Hong Kong,1093 HK
1097,HK,CTF MEDIA & ENTERTAINMENT LT,,1999-11-24,Hong Kong,1097 HK
1098,HK,ROAD KING INFRASTRUCTURE LTD,,1996-04-07,Hong Kong,1098 HK
1099,HK,SINOPHARM GROUP CO-H,58.29,2009-09-23,Hong Kong,1099 HK
1100,HK,MAINLAND HEADWEAR HLDGS LTD,,2000-12-13,Hong Kong,1100 HK
1104,HK,APAC RESOURCES LTD,,1998-12-29,Hong Kong,1104 HK
1105,HK,SING TAO NEWS CORP LTD,,1996-10-07,Hong Kong,1105 HK
1109,HK,CHINA RESOURCES LAND LTD,53.89,1996-08-11,Hong Kong,1109 HK
1111,HK,HUASHI GROUP HOLDINGS LTD,,2023-10-11,Hong Kong,1111 HK
1112,HK,HEALTH AND HAPPINESS H&H INT,57.13,2010-12-17,Hong Kong,1112 HK
1113,HK,CK ASSET HOLDINGS LTD,54.88,,Hong Kong,1113 HK
1114,HK,BRILLIANCE CHINA AUTOMOTIVE,47.47,,Hong Kong,1114 HK
1117,HK,CHINA MODERN DAIRY HOLDINGS,47.93,2010-11-26,Hong Kong,1117 HK
1118,HK,GOLIK HOLDINGS LTD,,1994-07-15,Hong Kong,1118 HK
1119,HK,IDREAMSKY TECHNOLOGY HOLDING,,2018-06-12,Hong Kong,1119 HK
1123,HK,CHINA HONG KONG PHOTO PRODUC,,1994-09-19,Hong Kong,1123 HK
1124,HK,COASTAL GREENLAND LTD,,1997-10-16,Hong Kong,1124 HK
1125,HK,LAI FUNG HOLDINGS LTD,,1997-11-28,Hong Kong,1125 HK
1126,HK,DREAM INTERNATIONAL LTD,32.95,2002-07-02,Hong Kong,1126 HK
1128,HK,WYNN MACAU LTD,76.86,2009-09-10,Hong Kong,1128 HK
1130,HK,CHINA ENVIRONMENTAL RESOURCE,,1997-03-06,Hong Kong,1130 HK
1132,HK,ORANGE SKY GOLDEN HARVEST EN,,1994-11-23,Hong Kong,1132 HK
1133,HK,HARBIN ELECTRIC CO LTD-H,46.82,1994-12-19,Hong Kong,1133 HK
1134,HK,KELFRED HOLDINGS LTD,,2019-07-16,Hong Kong,1134 HK
1137,HK,HONG KONG TECHNOLOGY VENTURE,,1997-04-08,Hong Kong,1137 HK
1138,HK,COSCO SHIPPING ENERGY TRAN-H,77.95,1994-11-11,Hong Kong,1138 HK
114,HK,HERALD HOLDINGS LTD,,,Hong Kong,114 HK
115,HK,GRAND FIELD GROUP HOLDINGS,,,Hong Kong,115 HK
1153,HK,JIAYUAN SERVICES HOLDINGS LT,,2020-09-12,Hong Kong,1153 HK
1156,HK,CHINA NEW ENERGY LTD,,2020-07-15,Hong Kong,1156 HK
1159,HK,SMART DIGITAL TECHNOLOGY GRO,,1998-03-13,Hong Kong,1159 HK
116,HK,CHOW SANG SANG HLDG,66.01,1973-06-04,Hong Kong,116 HK
1162,HK,LUMINA GROUP LTD,,2017-10-25,Hong Kong,1162 HK
1163,HK,ADTIGER CORP LTD,,2020-10-07,Hong Kong,1163 HK
1164,HK,CGN MINING CO LTD,54.56,2002-07-02,Hong Kong,1164 HK
1166,HK,SOLARTECH INTL HLDG LTD,,1996-12-12,Hong Kong,1166 HK
1167,HK,JACOBIO PHARMACEUTICALS GROU,51.32,2020-12-21,Hong Kong,1167 HK
1168,HK,Z FIN LTD,,1998-08-06,Hong Kong,1168 HK
1170,HK,KINGMAKER FOOTWEAR HLDGS LTD,,1994-09-29,Hong Kong,1170 HK
1171,HK,YANKUANG ENERGY GROUP CO-H,56.52,1998-01-04,Hong Kong,1171 HK
1172,HK,MAGNUS CONCORDIA GROUP LTD,,1996-12-06,Hong Kong,1172 HK
