ticker,country_code,country_name,company,fiscal_year,cash_from_operations,total_assets,net_interest_coverage,current_ratio,total_debt_to_equity,besg_esg_score,market_cap,total_liabilities,tobins_q,roa,capex,net_ppe,esg_disclosure_score,cash_equivalents,security_key,period_group
1,HK,Hong Kong,CK HUTCHISON HOLDINGS LTD,2017,6877762560.0,140836241408,4.8002,2.0328,56.6533,1.87,48441336.0,65116291072,0.9531,3.3212,-3037477376.0,21388578816,30.71,20540686336.0,1 HK,Pre-COVID (≤2019)
1,HK,Hong Kong,CK HUTCHISON HOLDINGS LTD,2018,7111141376.0,157330505728,5.8974,1.5313,59.63,1.84,37025264.0,81895383040,0.8733,3.3441,-3513848576.0,15105206272,30.71,17289011200.0,1 HK,Pre-COVID (≤2019)
1,HK,Hong Kong,CK HUTCHISON HOLDINGS LTD,2019,8840975360.0,155468595200,4.7748,1.3611,73.5349,2.51,36784096.0,78828765184,0.8532,3.2605,-4108430592.0,26041057280,38.3,17604759552.0,1 HK,Pre-COVID (≤2019)
1,HK,Hong Kong,CK HUTCHISON HOLDINGS LTD,2020,9433957376.0,161806106624,4.4803,1.3697,70.4904,3.01,26906202.0,80546447360,0.7723,2.364,-3494526464.0,27845543936,50.78,20113106944.0,1 HK,COVID (2020–2022)
1,HK,Hong Kong,CK HUTCHISON HOLDINGS LTD,2021,6713643520.0,155630141440,4.6002,1.2926,63.8935,3.41,24736404.0,73006858240,0.7361,2.7133,-3480843520.0,26668933120,55.52,19638730752.0,1 HK,COVID (2020–2022)
1,HK,Hong Kong,CK HUTCHISON HOLDINGS LTD,2022,7242648064.0,147203424256,5.7441,1.2706,54.526,3.48,22999806.0,64233181184,0.7004,3.1059,-3050228480.0,22044811264,55.52,17699348480.0,1 HK,COVID (2020–2022)
1,HK,Hong Kong,CK HUTCHISON HOLDINGS LTD,2023,6570201088.0,148375666688,3.0917,1.2453,51.1655,3.56,20521774.0,62524518400,0.6689,2.037,-2767973632.0,23176708096,56.7,16301308928.0,1 HK,GenAI Era (2023+)
1,HK,Hong Kong,CK HUTCHISON HOLDINGS LTD,2024,6949851136.0,143226699776,2.5233,1.4673,49.4195,3.75,20462536.0,59213152256,0.6622,1.5046,-2609974784.0,21803880448,59.33,15616333824.0,1 HK,GenAI Era (2023+)
1,HK,Hong Kong,CK HUTCHISON HOLDINGS LTD,2025,8025828352.0,148469661696,2.313,1.5712,48.5598,,26053888.0,60031733760,0.6885,1.0441,-2404272128.0,20457611264,,18467348480.0,1 HK,GenAI Era (2023+)
10,HK,Hong Kong,HANG LUNG GROUP LTD,2017,1051503616.0,25061505024,10.3274,2.1245,18.9742,3.08,5010883.5,5917847552,0.7754,2.7811,-545514048.0,21020186624,49.85,868502208.0,10 HK,Pre-COVID (≤2019)
10,HK,Hong Kong,HANG LUNG GROUP LTD,2018,673551424.0,25356476416,7.848,1.4726,20.5465,3.11,3466544.25,6110798848,0.7015,2.6801,-1660465792.0,22467633152,50.57,874466944.0,10 HK,Pre-COVID (≤2019)
10,HK,Hong Kong,HANG LUNG GROUP LTD,2019,564765632.0,27376238592,8.3655,0.9034,19.8507,2.85,3366811.5,7049761280,0.6949,3.3101,-1571899136.0,25169594368,51.28,221717248.0,10 HK,Pre-COVID (≤2019)
10,HK,Hong Kong,HANG LUNG GROUP LTD,2020,330577248.0,28984741888,,0.9485,24.5376,3.3,3385738.5,8434682880,0.707,-0.7037,-402907136.0,25926848512,55.74,710370560.0,10 HK,COVID (2020–2022)
